#<ID>,<EN/ETT>,[NOUN],[INDEF PL],[DEF],[DEF PL],[NOUN ENG],[NOUN ENG PL],[PIC]
n1,en,elev,elever,eleven,eleverna,student,students,
n2,en,lärare,lärare,läraren,lärarna,teacher,teachers,
n3,en,sida,sidor,sidan,sidorna,page,pages,
n4,ett,foto,foton,fotot,fotona,photo,photos,
n5,ett,ord,ord,ordet,orden,word,words,
n6,en,hamburgare,hamburgare,hamburgaren,hamburgarna,hamburger,hamburgers,
n7,en,advokat,advokater,advokaten,advokaterna,lawyer,lawyers,
n8,en,potatis,potatisar,potatisen,potatisarna,potato,potatoes,
n9,en,mobil,mobiler,mobilen,mobilerna,cell phone,cell phones,
n10,ett,papper,papper,papperet,papperen,paper,papers,
n11,ett,kaffe,kaffe,kaffet,kaffet,coffee,coffee,
n12,en,bok,böcker,boken,böckerna,book,books,
n13,en,kanelbulle,kanelbullar,kanelbullen,kanelbullarna,cinnamon roll,cinnamon rolls,
n14,en,penna,pennor,pennan,pennorna,pen,pens,
n15,ett,vatten,vatten,vattnet,vattnet,water,water,
n16,ett,exempel,exempel,exemplet,exemplen,example,examples,
n17,en,kurs,kurser,kursen,kurserna,course,courses,
n18,ett,språk,språk,språket,språken,language,languages,
n19,en,dialog,dialoger,dialogen,dialogerna,dialogue,dialogues,
n20,en,betoning,betoningar,betoningen,betoningarna,emphasis,emphases,
n21,en,ruta,rutor,rutan,rutorna,box,boxes,
n22,ett,system,system,systemet,systemen,system,systems,
n23,ett,verb,verb,verbet,verben,verb,verbs,
n24,en,position,positioner,positionen,positionerna,position,positions,
