#<ID>,<VERB>,[INF],[IMPER],[PRESENT],[PAST],[SUPINE],[IMPER ENG],[VERB ENG PAST],[VERB ENG PAST PART],[PIC]
v1,verb,kunna,,kan,kunde,kunnat,know,knew,known,
v2,verb,kombinera,kombinera,kombinerar,kombinerade,kombinerat,combine,combined,combined,
v3,verb,heta,het,heter,hette,hetat,be called,was called,been called,
v4,verb,komma,kom,kommer,kom,kommit,come,came,come,
v5,verb,tala,tala,talar,talade,talat,speak,spoke,spoken,
v6,verb,vara,var,är,var,varit,be,was,been,
v7,verb,ligga,ligg,ligger,låg,legat,lie,lay,laid,
v8,verb,prata,prata,pratar,pratade,pratat,talk,talked,talked,
v9,verb,lyssna,lyssna,lyssnar,lyssnade,lyssnat,listen,listened,listened,
v10,verb,ha,ha,har,hade,haft,have,had,had,
v11,verb,markera,markera,markerar,markerade,markerat,mark,marked,marked,
v12,verb,uttala,uttala,uttalar,uttalade,uttalat,pronounce,pronounced,pronounced,
v13,verb,titta,titta,tittar,tittade,tittat,look,looked,looked,
v14,verb,se,se,ser,såg,sett,see,saw,seen,
v15,verb,läsa,läs,läser,läste,läsat,read,read,read,
