#<ID>,<WORD>,[WORD],[WORD ENG],[PIC]
w1,word,ursäkta,Excuse me,
w2,word,eller,or,
w3,word,på,on,
w4,word,varifrån,from where,
w5,word,från,from,
w6,word,jaha,I see,
w7,word,så klart,of course,
w8,word,spanska,Spanish,
w9,word,vad,what,
w10,word,var,where,
w11,word,i,in,
w12,word,norra,north,
w13,word,Italien,Italy,
w14,word,lite,some,
w15,word,pyttelite,tiny bit,
w16,word,italienska,Italian,
w17,word,igen,again,
w18,word,här,here,
w19,word,nedanför,below,
w20,word,för,for,
,,då,then,
,,med,with,
